,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Factor13,Communality
A1,-0.6328036314888207,-0.30641510638358216,-0.1440992116229369,-0.28918303181902455,-0.22955786082086369,-0.13916419618662912,0.07103885980886843,0.14660846250062537,0.07222570397991582,-0.1381043911594694,0.04189418015122098,-0.08509331072843096,-0.015339470666262532,0.7308467763670706
A2,-0.626991830390486,-0.32326192115282865,-0.20185955730372784,-0.18857567625202729,-0.10134147066403396,-0.07236786100852638,-0.008530521274320326,0.0664868108295902,-0.053425487932763464,-0.05053330448650608,-0.051160973896882324,0.051444036930558344,0.071954812177653,0.6097748851878873
A3,-0.3813559361014531,-0.432605812631647,-0.1147245310436983,-0.32092905821035733,-0.2804950987027203,-0.1458593954937611,-0.02200631156072995,0.14049146210265143,0.051726221434476166,-0.0013173190705504207,0.014348062995492003,-0.005696426637237379,0.023110839149635135,0.572361674259568
A4,-0.4499644850046414,-0.3674710252843162,-0.1565095612303283,-0.28352194554636306,-0.2576709764052692,-0.035359345101659105,-0.061699260622351246,0.12025577945258605,-0.24858524545670507,0.07244680008013893,0.07088358015081611,0.0025518980887415344,0.08055411473705729,0.6068589177932058
A5,-0.56056166491889,-0.1972379625784886,-0.23568655296858654,-0.22228856645801862,-0.1275490699534094,-0.03504559556352296,0.1721978219812001,-0.10281949528829226,0.18570260193053362,-0.08599968980623666,0.006350460182207448,-0.014156920404597173,-0.07944198928233828,0.5642466290192587
A6,-0.5580358790114062,-0.18985652736876107,-0.1033873550147579,-0.2819218680987467,-0.08234336402240404,-0.1022711709931342,0.06357858807159807,-0.048187601324216366,0.17986571720584288,-0.07372575523223375,0.04613206015673116,0.028217720835714014,-0.12930365015846332,0.5186535358334896
A7,-0.37429571479256274,-0.19277303838896648,-0.17238249076389525,-0.2792391319664919,-0.2406038764055575,-0.11156436561844477,0.008604743173432952,-0.0738141468893203,-0.07284284511019348,0.018074928384431952,0.004492795506814526,-0.03781074394167267,-0.05026489245972415,0.3704175253911859
A8,0.08447855436834158,-0.12032190213719311,0.3002757536076354,0.04797226005755371,0.4825080941128711,-0.02423784696461934,0.08092896713598631,-0.04236841435799161,-0.0006316473166600944,-0.1612274115790935,-0.2020728058451289,-0.025024883899561656,-0.02323239796893451,0.4238210518030873
A9,0.2456865184446102,-0.1268065979127157,0.36283198779794307,0.26764577372335213,0.4842237047828651,-0.0736839096106047,0.10152636080940786,-0.04261892454043351,0.13175078931349152,-0.13452660802745714,-0.0017257002216724872,-0.07029931473567816,-0.01524832961704882,0.572382141660114
A10,0.0982732847498165,-0.1851620896443579,0.14415481956394927,0.17333582783438553,0.3921450071990005,-0.03525017972676745,0.06527333796187379,-0.0714219984503758,0.008413935868844443,-0.008542538309992694,0.027001994611908473,0.023673535184860362,0.05849077297324671,0.2640050352864952
